time_inj strain(time_inj) index progenitor dist_kpc EoS
1185669149.0 -2.830132316291743e-19 118784 s15a 60.0 shen
1185669177.0 -4.455991388460928e-19 233472 s15a 40.0 ls
1185669206.0 -3.7439099131662636e-19 352256 s40a 30.0 shen
1185669289.0 -7.08448822762754e-19 692224 s11a 30.0 ls
1185669406.0 -2.0257427216304378e-19 1171456 s11a 40.0 shen
1185669436.0 2.883889165506433e-19 1294336 s20a 60.0 shen
1185669521.0 -9.769374184964117e-20 1642496 s20a 100.0 ls
1185669553.0 5.842490382937867e-19 1773568 s20a 40.0 shen
1185669584.0 4.2451782872139654e-19 1900544 s11a 20.0 ls
1185669661.0 -5.454833006885289e-19 2215936 s15a 70.0 shen
1185669692.0 -8.304014712241826e-20 2342912 s11a 10.0 ls
1185669723.0 6.552057497954658e-19 2469888 s15a 60.0 ls
1185669757.0 3.8098468221234485e-20 2609152 s40a 20.0 shen
1185669791.0 -4.694787775178803e-19 2748416 s15a 90.0 shen
1185669826.0 6.890088733682073e-19 2891776 s15a 40.0 ls
1185669860.0 -6.499716426249877e-19 3031040 s20a 70.0 ls
1185669895.0 4.806932949183142e-19 3174400 s40a 1.0 shen
1185669988.0 -6.894071361372344e-19 3555328 s15a 90.0 shen
1185670112.0 6.914935186522146e-19 4063232 s11a 40.0 ls
1185670146.0 -5.465710823895187e-19 4202496 s15a 40.0 shen
1185670176.0 -6.608656289936885e-19 4325376 s11a 40.0 ls
1185670291.0 -5.785664663134612e-19 4796416 s20a 10.0 shen
1185670324.0 6.815285109382981e-19 4931584 s20a 50.0 ls
1185670428.0 2.485132988401274e-19 5357568 s40a 1.0 shen
1185670551.0 3.9117949122007565e-19 5861376 s40a 60.0 shen
1185670583.0 6.337278954529601e-19 5992448 s11a 60.0 shen
1185670705.0 -6.148778071704233e-19 6492160 s15a 50.0 ls
1185670818.0 -8.101551026722094e-19 6955008 s15a 100.0 ls
1185670938.0 5.925142169578417e-19 7446528 s15a 10.0 shen
1185671051.0 2.6789099749218754e-19 7909376 s20a 60.0 shen
1185671162.0 -4.810896083333099e-19 8364032 s40a 100.0 shen
1185671196.0 5.006965921794204e-19 8503296 s40a 1.0 shen
1185671273.0 -4.249190267841485e-19 8818688 s40a 20.0 shen
1185671305.0 -5.853898311436881e-19 8949760 s11a 50.0 shen
1185671382.0 6.634810717677585e-19 9265152 s40a 30.0 ls
1185671457.0 -4.661114436228093e-20 9572352 s20a 80.0 shen
1185671487.0 -4.2854158578353247e-19 9695232 s15a 1.0 ls
1185671522.0 7.348308006663315e-20 9838592 s40a 70.0 shen
1185671555.0 6.324436533137121e-19 9973760 s40a 90.0 shen
1185671583.0 7.704176109689526e-19 10088448 s11a 10.0 shen
1185671677.0 -3.7900305040562825e-19 10473472 s40a 70.0 ls
1185671770.0 3.8990753764005786e-19 10854400 s20a 60.0 shen
1185671805.0 -5.039984692604442e-19 10997760 s20a 40.0 ls
1185671906.0 -2.303486264011893e-19 11411456 s20a 20.0 shen
1185671937.0 3.988417439960879e-19 11538432 s15a 10.0 shen
1185672038.0 5.6654051901027535e-19 11952128 s20a 40.0 ls
1185672163.0 -2.9517377892778163e-19 12464128 s40a 10.0 shen
1185672288.0 -7.278418378749217e-19 12976128 s40a 80.0 shen
1185672319.0 -5.331147312727198e-19 13103104 s15a 50.0 ls
1185672429.0 -1.590797175145063e-19 13553664 s20a 10.0 shen
1185672463.0 -3.5558586890509845e-19 13692928 s15a 50.0 shen
1185672495.0 6.149194364831437e-19 13824000 s40a 80.0 shen
1185672526.0 4.994706768419952e-19 13950976 s40a 50.0 shen
1185672600.0 -1.5424666360825924e-19 14254080 s40a 1.0 shen
1185672629.0 -2.0134691093590143e-19 14372864 s40a 60.0 shen
1185672754.0 5.9858970788213265e-19 14884864 s11a 100.0 shen
1185672867.0 8.487885902562969e-19 15347712 s20a 10.0 shen
1185672939.0 6.266057958628957e-19 15642624 s20a 100.0 ls
1185673060.0 -8.084801289524398e-19 16138240 s15a 90.0 shen
1185673157.0 -9.242080001230476e-20 16535552 s11a 10.0 ls
