time_inj strain(time_inj) index progenitor dist_kpc EoS
1185677436.0 -8192.0 507904 s20a 100.0 ls
1185677550.0 -20480.0 974848 s20a 70.0 ls
1185677583.0 -36864.0 1110016 s20a 50.0 ls
1185677616.0 28672.0 1245184 s11a 20.0 ls
1185677694.0 -16384.0 1564672 s20a 80.0 shen
1185677798.0 -8192.0 1990656 s20a 30.0 shen
1185677903.0 -8192.0 2420736 s20a 50.0 shen
1185677996.0 24576.0 2801664 s40a 100.0 shen
1185678110.0 -16384.0 3268608 s20a 50.0 shen
1185678200.0 -4096.0 3637248 s40a 30.0 shen
1185678326.0 -36864.0 4153344 s15a 100.0 shen
1185678356.0 -40960.0 4276224 s15a 60.0 ls
1185678386.0 -28672.0 4399104 s11a 1.0 ls
1185678418.0 -40960.0 4530176 s20a 30.0 shen
1185678449.0 -8192.0 4657152 s11a 90.0 shen
1185678483.0 -28672.0 4796416 s11a 30.0 ls
1185678511.0 -12288.0 4911104 s11a 80.0 shen
1185678581.0 20480.0 5197824 s40a 50.0 ls
1185678609.0 -40960.0 5312512 s15a 50.0 ls
1185678721.0 4096.0 5771264 s15a 90.0 ls
1185678810.0 -20480.0 6135808 s15a 1.0 ls
1185678843.0 -4096.0 6270976 s15a 60.0 ls
1185678877.0 20480.0 6410240 s11a 90.0 shen
1185678995.0 16384.0 6893568 s11a 80.0 shen
1185679025.0 3.236439983680077e-20 7016448 s20a 1.0 ls
1185679059.0 -20480.0 7155712 s20a 50.0 shen
1185679187.0 -16384.0 7680000 s40a 100.0 ls
1185679215.0 8192.0 7794688 s15a 40.0 ls
1185679245.0 24576.0 7917568 s11a 50.0 ls
1185679279.0 20480.0 8056832 s20a 100.0 ls
1185679402.0 -4096.0 8560640 s15a 90.0 ls
1185679527.0 24576.0 9072640 s11a 90.0 ls
1185679627.0 36864.0 9482240 s15a 60.0 ls
1185679662.0 12288.0 9625600 e20b 10.0 shen
1185679693.0 24576.0 9752576 s20a 60.0 shen
1185679787.0 3.870587830377025e-20 10137600 s11a 1.0 shen
1185679909.0 -20480.0 10637312 s40a 30.0 shen
1185679943.0 -28672.0 10776576 s11a 80.0 shen
1185680060.0 32768.0 11255808 s20a 100.0 shen
1185680168.0 12288.0 11698176 s11a 80.0 ls
1185680200.0 4096.0 11829248 s15a 50.0 ls
1185680296.0 4096.0 12222464 s11a 1.0 ls
1185680329.0 4096.0 12357632 s15a 10.0 shen
1185680425.0 8192.0 12750848 s11a 70.0 shen
1185680457.0 -32768.0 12881920 s15a 60.0 ls
1185680485.0 8192.0 12996608 s15a 60.0 ls
1185680518.0 20480.0 13131776 s20a 1.0 ls
1185680551.0 -8192.0 13266944 s11a 50.0 shen
1185680581.0 -28672.0 13389824 s40a 90.0 shen
1185680655.0 8192.0 13692928 s40a 40.0 shen
1185680746.0 16384.0 14065664 e15b 100.0 shen
1185680842.0 28672.0 14458880 s11a 80.0 ls
1185680930.0 12288.0 14819328 s15a 90.0 shen
1185680965.0 -16384.0 14962688 s40a 50.0 ls
1185681053.0 -32768.0 15323136 s15a 30.0 ls
1185681086.0 -32768.0 15458304 s15a 1.0 shen
1185681116.0 -32768.0 15581184 s15a 70.0 ls
1185681145.0 16384.0 15699968 s15a 60.0 ls
1185681231.0 7.554343824470159e-20 16052224 s40a 10.0 ls
1185681334.0 -24576.0 16474112 s20a 50.0 ls
1185681369.0 4096.0 16617472 s20a 10.0 shen
1185681399.0 20480.0 16740352 s20a 1.0 ls
