time_inj strain(time_inj) index progenitor dist_kpc EoS
1185677436.0 -4.691440994455757e-19 507904 s20a 100.0 ls
1185677550.0 -4.558174774855668e-19 974848 s20a 70.0 ls
1185677583.0 2.0937320818906476e-19 1110016 s20a 50.0 ls
1185677616.0 1.6400494730371746e-19 1245184 s11a 20.0 ls
1185677694.0 -2.1513230148360085e-19 1564672 s20a 80.0 shen
1185677798.0 -1.990526311391146e-19 1990656 s20a 30.0 shen
1185677903.0 2.985745345428205e-19 2420736 s20a 50.0 shen
1185677996.0 8.13077765667131e-19 2801664 s40a 100.0 shen
1185678110.0 -1.2980537468317167e-18 3268608 s20a 50.0 shen
1185678200.0 -2.7248721857297076e-19 3637248 s40a 30.0 shen
1185678326.0 6.120918810893196e-19 4153344 s15a 100.0 shen
1185678356.0 -7.824542414314204e-20 4276224 s15a 60.0 ls
1185678386.0 -2.027682477647242e-19 4399104 s11a 1.0 ls
1185678418.0 -4.418676991450348e-19 4530176 s20a 30.0 shen
1185678449.0 1.6931577738109095e-19 4657152 s11a 90.0 shen
1185678483.0 1.155670457718533e-19 4796416 s11a 30.0 ls
1185678511.0 3.3133014181422805e-19 4911104 s11a 80.0 shen
1185678581.0 3.867653858533656e-19 5197824 s40a 50.0 ls
1185678609.0 -1.8041511713974544e-18 5312512 s15a 50.0 ls
1185678721.0 1.002571040467658e-18 5771264 s15a 90.0 ls
1185678810.0 1.595482155156111e-18 6135808 s15a 1.0 ls
1185678843.0 3.3122964663860143e-19 6270976 s15a 60.0 ls
1185678877.0 -1.0986098917991568e-19 6410240 s11a 90.0 shen
1185678995.0 1.1940611467590423e-18 6893568 s11a 80.0 shen
1185679025.0 -2.438462837558002e-19 7016448 s20a 1.0 ls
1185679059.0 2.6930532166125806e-19 7155712 s20a 50.0 shen
1185679187.0 3.110349052091433e-20 7680000 s40a 100.0 ls
1185679215.0 -5.746077630824446e-19 7794688 s15a 40.0 ls
1185679245.0 1.0246233780100252e-18 7917568 s11a 50.0 ls
1185679279.0 1.0105309518114952e-18 8056832 s20a 100.0 ls
1185679402.0 1.6100351278135552e-19 8560640 s15a 90.0 ls
1185679527.0 1.5825010222266905e-19 9072640 s11a 90.0 ls
1185679627.0 -5.219148827421363e-19 9482240 s15a 60.0 ls
1185679662.0 9.192715426560306e-20 9625600 e20b 10.0 shen
1185679693.0 -8.577971414234154e-20 9752576 s20a 60.0 shen
1185679787.0 3.566158119032834e-19 10137600 s11a 1.0 shen
1185679909.0 -5.929893899381856e-19 10637312 s40a 30.0 shen
1185679943.0 1.3106412480823127e-18 10776576 s11a 80.0 shen
1185680060.0 -1.5446547429305591e-18 11255808 s20a 100.0 shen
1185680168.0 5.038091028278749e-19 11698176 s11a 80.0 ls
1185680200.0 1.5328650551021777e-19 11829248 s15a 50.0 ls
1185680296.0 -1.6262161834572195e-19 12222464 s11a 1.0 ls
1185680329.0 3.381677027058709e-19 12357632 s15a 10.0 shen
1185680425.0 -4.709710601244172e-19 12750848 s11a 70.0 shen
1185680457.0 -9.76961718320388e-19 12881920 s15a 60.0 ls
1185680485.0 -3.229023716039612e-19 12996608 s15a 60.0 ls
1185680518.0 -7.842526380951569e-19 13131776 s20a 1.0 ls
1185680551.0 -5.961511176497072e-19 13266944 s11a 50.0 shen
1185680581.0 6.243517803076366e-19 13389824 s40a 90.0 shen
1185680655.0 -1.8399289823928683e-18 13692928 s40a 40.0 shen
1185680746.0 8.399417951156069e-19 14065664 e15b 100.0 shen
1185680842.0 1.175606057932971e-18 14458880 s11a 80.0 ls
1185680930.0 1.5409317135223672e-19 14819328 s15a 90.0 shen
1185680965.0 6.580189252733641e-19 14962688 s40a 50.0 ls
1185681053.0 4.52889469067511e-19 15323136 s15a 30.0 ls
1185681086.0 3.2618710444332065e-19 15458304 s15a 1.0 shen
1185681116.0 1.0255925626183215e-18 15581184 s15a 70.0 ls
1185681145.0 -7.344536640677141e-20 15699968 s15a 60.0 ls
1185681231.0 -4.1914663019135775e-19 16052224 s40a 10.0 ls
1185681334.0 6.994034436139942e-19 16474112 s20a 50.0 ls
1185681369.0 -6.507622890373166e-19 16617472 s20a 10.0 shen
1185681399.0 -8.091232402995719e-21 16740352 s20a 1.0 ls
