time strain
0.0 -2.3150598999999998e-21
7.1115808e-05 -5.2075013999999996e-21
0.00014223162 -4.7050959999999996e-21
0.00021334742 -4.8956785999999986e-21
0.00028446323 -4.8958156e-21
0.00035557904 -4.8959355e-21
0.00042669485 -4.8960697e-21
0.00049781065 -4.8961843e-21
0.00056892646 -4.8962804999999994e-21
0.0006400422700000001 -4.8963658999999994e-21
0.00071115808 -4.8964265e-21
0.0007822738799999998 -4.8964633e-21
0.00085338969 -4.896481800000001e-21
0.0009245055 -4.8965011e-21
0.00099562131 -4.8965217999999995e-21
0.0010667371 -4.896504100000001e-21
0.0011378529 -4.8964738999999996e-21
0.0012089687 -4.8964318999999995e-21
0.0012800845 -4.8963456e-21
0.0013512003 -4.8963015999999986e-21
0.0014223162 -4.8963257e-21
0.001493432 -4.8962354e-21
0.0015645478 -4.8960773e-21
0.0016356636 -4.8959338999999995e-21
0.0017067794 -4.8957921e-21
0.0017778951999999997 -4.8956209e-21
0.001849011 -4.8954280999999995e-21
0.0019201268 -4.8952201e-21
0.0019912426 -4.8950265e-21
0.0020623584 -4.8948140999999994e-21
0.0021334742 -4.8945633999999996e-21
0.00220459 -4.8942869e-21
0.0022757058 -4.8940138e-21
0.0023468217 -4.8937320999999996e-21
0.0024179375 -4.8934333999999996e-21
0.0024890533 -4.893098e-21
0.0025601691 -4.8927455999999995e-21
0.0026312849 -4.892341299999999e-21
0.0027024007 -4.8919306e-21
0.0027735165 -4.8915457e-21
0.0028446323 -4.8911640999999986e-21
0.0029157481 -4.8907209999999996e-21
0.0029868639 -4.890276099999999e-21
0.003057979700000001 -4.8898604999999995e-21
0.0031290955 -4.8894056999999995e-21
0.0032002113 -4.8889136e-21
0.0032713271 -4.8883766e-21
0.003342443 -4.8878708999999985e-21
0.0034135588 -4.8873667999999994e-21
0.0034846746 -4.8868325e-21
0.0035557904 -4.8862787999999994e-21
0.0036269062 -4.8856785999999995e-21
0.003698022 -4.8850961e-21
0.0037691378 -4.8844939999999986e-21
0.0038402536 -4.8838264e-21
0.0039113694 -4.8830627e-21
0.0039824852 -4.8823046e-21
0.004053601 -4.8815631e-21
0.0041247168 -4.8807279e-21
0.0041958326 -4.8798746999999995e-21
0.0042669485 -4.8790279999999996e-21
0.0043380643000000005 -4.878217e-21
0.0044091801 -4.8774087999999996e-21
0.0044802959 -4.8765634e-21
0.0045514117 -4.8758001e-21
0.0046225275 -4.8750068e-21
0.0046936433 -4.8741281999999996e-21
0.0047647591 -4.8732427e-21
0.0048358749 -4.8723853e-21
0.0049069907 -4.871516700000001e-21
0.0049781065 -4.8705742e-21
0.0050492223 -4.869533400000001e-21
0.0051203381 -4.8684812e-21
0.005191454 -4.8673979e-21
0.0052625697999999985 -4.866231000000001e-21
0.0053336856 -4.8650167e-21
0.0054048014 -4.8638046e-21
0.0054759172 -4.8625933e-21
0.005547033 -4.8614023e-21
0.0056181488 -4.8603172e-21
0.0056892646 -4.8592398e-21
0.0057603804 -4.8580773e-21
0.0058314962 -4.8568788999999986e-21
0.0059026120000000015 -4.8557196e-21
0.0059737278 -4.8545507e-21
0.0060448436 -4.8533406e-21
0.0061159595 -4.8521380999999995e-21
0.0061870753 -4.850907e-21
0.0062581911 -4.8496441e-21
0.0063293069 -4.8483674999999984e-21
0.0064004227 -4.8470064e-21
0.0064715385 -4.845633099999999e-21
0.0065426543 -4.8442153e-21
0.0066137701 -4.8427776999999996e-21
0.006684885900000001 -4.8413468999999996e-21
0.0067560017 -4.8399145000000006e-21
0.0068271175 -4.8384903e-21
0.0068982333 -4.837050100000001e-21
0.006969349099999998 -4.835543e-21
