time strain
0.0 -5.1137031e-22
4.4898388e-05 -9.8849592e-22
8.979677699999999e-05 -1.1749891e-21
0.00013469517 -1.0627107e-21
0.00017959355 -1.0812536e-21
0.00022449194 -1.0812449e-21
0.00026939033000000003 -1.081236e-21
0.00031428872 -1.0812287e-21
0.00035918710999999996 -1.0812205999999998e-21
0.0004040855 -1.0812125999999999e-21
0.00044898388 -1.0812045999999999e-21
0.00049388227 -1.0811962999999999e-21
0.0005387806600000001 -1.0811885e-21
0.00058367905 -1.0811815e-21
0.00062857744 -1.0811738e-21
0.00067347583 -1.0811634999999999e-21
0.0007183742199999999 -1.0811515e-21
0.0007632725999999998 -1.0811411e-21
0.00080817099 -1.0811341999999999e-21
0.00085306938 -1.0811281e-21
0.00089796777 -1.0811198e-21
0.00094286616 -1.0811105e-21
0.00098776455 -1.0811007e-21
0.0010326629 -1.0810911999999999e-21
0.0010775613 -1.0810806e-21
0.0011224597 -1.0810697e-21
0.0011673581 -1.0810594999999998e-21
0.0012122565 -1.0810481e-21
0.0012571549 -1.081035e-21
0.0013020533 -1.0810214999999999e-21
0.0013469517 -1.081008e-21
0.00139185 -1.0809943e-21
0.0014367484 -1.0809794999999998e-21
0.0014816468 -1.0809685e-21
0.0015265451999999997 -1.0809605e-21
0.0015714436 -1.0809503e-21
0.001616342 -1.0809344999999999e-21
0.0016612404 -1.080915e-21
0.0017061387999999997 -1.0808972999999999e-21
0.0017510372 -1.0808787999999999e-21
0.0017959355 -1.0808595e-21
0.0018408339 -1.0808382e-21
0.0018857323 -1.0808152000000002e-21
0.0019306307 -1.0807916e-21
0.0019755291 -1.0807675e-21
0.0020204275 -1.0807429000000002e-21
0.0020653259 -1.0807172999999999e-21
0.0021102243 -1.0806908e-21
0.0021551226 -1.0806637e-21
0.002200021 -1.080636e-21
0.0022449194000000003 -1.0806078e-21
0.0022898178 -1.0805783e-21
0.0023347162 -1.0805474999999999e-21
0.0023796146 -1.0805178e-21
0.002424513 -1.0804866e-21
0.0024694114 -1.080454e-21
0.0025143098 -1.0804201999999998e-21
0.002559208100000001 -1.0803860999999999e-21
0.0026041065 -1.0793852999999999e-21
0.0026490049 -1.0769468999999998e-21
0.0026939033 -1.0806314e-21
0.0027388017 -1.0889976000000002e-21
0.0027837001 -1.0922372999999999e-21
0.0028285985 -1.0875173e-21
0.0028734969 -1.0789733e-21
0.0029183953 -1.0777042999999998e-21
0.0029632936 -1.0800177e-21
0.003008192 -1.0799725999999999e-21
0.0030530904 -1.0799270999999999e-21
0.0030979888 -1.0798823000000002e-21
0.0031428872 -1.0798361e-21
0.0031877856 -1.0797891999999999e-21
0.003232684 -1.0797416e-21
0.0032775824 -1.0796937e-21
0.0033224807 -1.0796451999999999e-21
0.0033673791 -1.0795942000000001e-21
0.0034122775 -1.0795416e-21
0.0034571759 -1.079488e-21
0.0035020743 -1.0794331999999998e-21
0.0035469727 -1.0793766e-21
0.0035918711 -1.0793174999999999e-21
0.0036367695 -1.0792591999999999e-21
0.0036816679 -1.0792018000000001e-21
0.0037265662 -1.0791437e-21
0.0037714646 -1.0790836e-21
0.003816363 -1.0790214e-21
0.0038612614 -1.0789581999999999e-21
0.0039061598 -1.0788957e-21
0.0039510582 -1.0788317e-21
0.0039959566 -1.0787973999999998e-21
0.004040855 -1.0795956e-21
0.004085753399999999 -1.0764752e-21
0.0041306517 -1.0771114999999999e-21
0.0041755501 -1.07979e-21
0.0042204485 -1.0806043e-21
0.0042653469 -1.0793658999999999e-21
0.0043102453 -1.0756952e-21
0.0043551437 -1.0776887e-21
0.0044000421 -1.0787565999999999e-21
0.0044449405 -1.0781268e-21
0.004489838800000001 -1.0780917e-21
0.0045347372000000006 -1.0780289e-21
0.0045796356 -1.0779391000000002e-21
0.004624534 -1.0778459999999999e-21
0.0046694324 -1.0777672999999999e-21
0.0047143308 -1.0777013e-21
0.0047592292 -1.0776261e-21
0.0048041276 -1.0775352e-21
0.004849026 -1.0774462000000001e-21
0.0048939243 -1.0773559e-21
0.004938822700000001 -1.0772646999999999e-21
0.0049837211 -1.0771738e-21
0.0050286195 -1.0770855000000002e-21
0.0050735179 -1.0769955e-21
0.0051184163 -1.0769158e-21
0.0051633147 -1.0768215e-21
0.0052082131 -1.0766766e-21
0.0052531115 -1.0765088e-21
0.0052980098 -1.0763619e-21
0.0053429082 -1.0762556e-21
0.0053878066 -1.0761575e-21
0.005432705 -1.0760485e-21
0.0054776034 -1.0759454999999998e-21
0.0055225017999999985 -1.0758417e-21
0.0055674002 -1.0757355000000001e-21
0.0056122986 -1.0756299e-21
0.0056571969 -1.0755217999999999e-21
0.0057020953 -1.0754133e-21
0.0057469937 -1.0753045999999999e-21
0.0057918921 -1.0751959e-21
0.0058367905 -1.0750880999999998e-21
0.0058816889 -1.07498e-21
0.0059265872999999985 -1.0748709e-21
0.005971485699999998 -1.0747608999999999e-21
0.0060163841 -1.0746509e-21
0.0060612824 -1.0745401999999999e-21
0.0061061808 -1.0744292e-21
0.0061510792 -1.0743162e-21
0.0061959776 -1.0742011e-21
0.006240876 -1.0740839000000002e-21
0.0062857744 -1.0739671e-21
0.0063306728 -1.0738534999999999e-21
0.0063755712 -1.0737396000000002e-21
0.0064204696 -1.0736238e-21
0.0064653679 -1.0735037e-21
0.0065102663 -1.0733816000000002e-21
0.0065551647 -1.0732626e-21
0.0066000631 -1.0731419999999999e-21
0.0066449615 -1.0730188e-21
0.0066898599 -1.0728906999999999e-21
0.0067347583 -1.0727625e-21
0.0067796567 -1.0726372e-21
0.006824555 -1.0725079e-21
0.0068694534 -1.0723777e-21
0.0069143518 -1.0722488e-21
0.0069592501999999985 -1.0721209e-21
0.0070041485999999984 -1.0719921e-21
0.007049047 -1.0718611e-21
0.0070939454 -1.0717283999999999e-21
0.0071388438 -1.0715946999999999e-21
0.0071837422 -1.0714601e-21
0.0072286405 -1.0713256e-21
0.0072735389 -1.0711901999999999e-21
0.0073184373 -1.0710512999999999e-21
0.0073633357 -1.0709097e-21
0.007408234099999998 -1.0707665e-21
0.0074531325 -1.0706222999999999e-21
0.0074980309 -1.0704771e-21
0.0075429293 -1.0703323e-21
0.0075878277 -1.0701874999999999e-21
0.007632726 -1.0700403999999999e-21
0.0076776244 -1.0698906999999999e-21
0.0077225228 -1.0697390999999998e-21
0.0077674212 -1.0695889e-21
0.0078123196 -1.0694413e-21
0.007857218 -1.069295e-21
0.007902116399999999 -1.0691484e-21
0.007947014799999999 -1.0689987999999999e-21
0.007991913099999998 -1.0688465999999999e-21
0.008036811500000001 -1.0686949e-21
0.0080817099 -1.0685417999999999e-21
0.0081266083 -1.0683882999999999e-21
0.008171506700000001 -1.0682353999999999e-21
0.0082164051 -1.0680852e-21
0.0082613035 -1.0679362999999999e-21
0.008306201899999999 -1.0677862e-21
0.0083511003 -1.0676335e-21
0.008395998600000001 -1.0674787e-21
0.008440897 -1.0673201e-21
0.008485795400000001 -1.0671594999999999e-21
0.0085306938 -1.0669994e-21
0.0085755922 -1.0668393e-21
0.0086204906 -1.0666764e-21
0.008665388999999999 -1.0665112e-21
0.0087102874 -1.0663437999999999e-21
0.0087551858 -1.0661746e-21
0.0088000841 -1.0660031000000002e-21
0.008844982500000001 -1.065828e-21
0.0088898809 -1.0656513999999999e-21
0.0089347793 -1.0654743999999998e-21
0.008979677699999999 -1.0652993e-21
0.0090245761 -1.0651257e-21
0.0090694745 -1.0649537e-21
0.0091143729 -1.0647814999999999e-21
0.0091592712 -1.0646084e-21
0.009204169600000001 -1.0644351000000002e-21
0.009249068 -1.0642606e-21
0.0092939664 -1.0640845999999999e-21
0.0093388648 -1.0639065999999999e-21
0.0093837632 -1.0637291999999999e-21
0.0094286616 -1.0635516e-21
0.00947356 -1.0633717e-21
0.0095184584 -1.0631889e-21
0.0095633567 -1.0630045e-21
0.0096082551 -1.0628191e-21
0.0096531535 -1.0626327e-21
0.0096980519 -1.0624457e-21
0.0097429503 -1.0622569e-21
0.0097878487 -1.0620687999999999e-21
0.0098327471 -1.0618801e-21
0.0098776455 -1.0616913999999999e-21
0.0099225439 -1.0615007e-21
0.009967442200000003 -1.0613067e-21
0.010012341 -1.0608602000000002e-21
0.010057239 -1.0649193e-21
0.010102137 -1.0510477e-21
0.010147036000000002 -1.0602077e-21
0.010191934 -1.0647545e-21
0.010236833 -1.0646982e-21
0.010281731 -1.0593122e-21
0.010326629 -1.053553e-21
0.010371528 -1.0633704e-21
0.010416426 -1.0563689e-21
0.010461325 -1.0590502e-21
0.010506223 -1.0588435e-21
0.010551121 -1.05864e-21
0.01059602 -1.0584274e-21
0.010640918 -1.0582124e-21
0.010685816 -1.0580004999999999e-21
0.010730715 -1.0577946e-21
0.010775613 -1.0575864999999999e-21
0.010820512 -1.0573703e-21
0.01086541 -1.057154e-21
0.010910308 -1.0569387e-21
0.010955207 -1.0567242e-21
0.011000105 -1.0565095e-21
0.011045004 -1.0562958999999999e-21
0.011089902 -1.0560834000000001e-21
0.0111348 -1.0558683e-21
0.011179699 -1.055648e-21
0.011224597 -1.0554244999999999e-21
0.011269496 -1.0552032e-21
0.011314394 -1.0549832e-21
0.011359292 -1.0547628999999999e-21
0.011404191 -1.0545398e-21
0.011449089 -1.0543149e-21
0.011493987 -1.0540875000000002e-21
0.011538886000000003 -1.0538564999999999e-21
0.011583784 -1.0536248e-21
0.011628683 -1.0533933e-21
0.011673581 -1.0531623e-21
